gene_id,T2_R2,T2_R3,T2_R4,T7_R1,T7_R2,T7_R4
XM_053610702.1,0,0,0,0,0,0
XM_053610703.1,14,6,3,10,21,13
XM_053610704.1,51,26,50,53,23,32
XM_053610705.1,263,285,242,393,376,394
XM_053610706.1,2,0,0,0,2,0
XM_053610707.1,0,0,0,0,0,0
XM_053610708.1,0,0,0,0,1,0
XM_053610709.1,4,0,0,1,2,5
XM_053610710.1,22,14,12,7,13,9
XM_053610711.1,0,0,0,1,0,0
XM_053610712.1,64,87,59,79,57,58
XM_053610713.1,0,0,0,0,0,0
XM_053610714.1,0,0,0,0,0,0
XM_053610715.1,107,151,74,42,37,51
XM_053610716.1,0,0,0,0,0,0
XM_053610717.1,0,0,0,0,0,0
XM_053610718.1,0,0,0,0,0,0
XM_053610719.1,0,0,0,0,0,0
XM_053610720.1,9,8,13,14,15,8
XM_053610721.1,22,33,31,35,12,14
XM_053610722.1,0,0,0,0,0,0
XM_053610723.1,0,0,0,0,0,0
XM_053610724.1,0,4,3,0,2,0
XM_053610725.1,276,257,127,79,53,67
XM_053610726.1,7,8,19,63,34,45
XM_053610727.1,0,0,0,0,0,0
XM_053610728.1,90,59,80,109,50,91
XM_053610729.1,23,22,12,430,451,447
XM_053610730.1,40,48,14,848,748,847
XM_053610731.1,326,318,256,208,189,232
XM_053610732.1,2,1,5,5,11,19
XM_053610733.1,0,0,0,0,0,0
XM_053610734.1,42,42,36,60,51,43
XM_053610735.1,88,90,99,66,83,64
XM_053610736.1,0,0,0,0,0,0
XM_053610737.1,126,125,139,214,147,150
XM_053610738.1,261,263,183,79,78,79
XM_053610739.1,814,745,1214,379,368,347
XM_053610740.1,0,0,0,0,0,0
XM_053610741.1,0,0,0,0,0,0
XM_053610742.1,0,0,0,0,0,0
XM_053610743.1,0,0,0,0,0,0
XM_053610744.1,0,0,0,0,0,0
XM_053610745.1,3,3,3,0,0,0
XM_053610746.1,0,0,0,0,0,0
XM_053610747.1,8,6,8,11,9,15
XM_053610748.1,1,0,6,3,0,0
XM_053610749.1,0,0,0,0,0,0
XM_053610750.1,0,0,0,0,0,0
XM_053610751.1,1889,1095,2306,360,466,503
XM_053610752.1,0,0,0,0,0,0
XM_053610753.1,17,27,8,44,14,77
XM_053610754.1,28,61,27,728,35,170
