"","gene_id","GeneName","logFC","logCPM","F","PValue","FDR"
"8304","XM_053634368.1","slc7a6",-2.39381795748171,6.99242479973472,39.1560078541849,0.000103975230300042,0.000636833533143047
"8321","XM_053634434.1","tmem59l",-2.8734090316558,2.57514342942364,43.4035865252406,7.10888721522853e-05,0.000488242113874075
"8331","XM_053634451.1","LOC128613563",-3.00004689027344,4.97665081479367,58.1264837595603,2.04335639985114e-05,0.000213130498716432
"8345","XM_053634477.1","palm1a",-1.61911272103916,1.95878269138173,19.4692149371277,0.00140418385894044,0.00444745222236896
"8356","XM_053634500.1","adgrb1a",-3.77262192284717,6.62138669571809,218.624827410581,5.19548061103254e-08,6.72990864135966e-06
"8366","XM_053634555.1","ldb1b",-2.82271876636759,2.14357092417672,26.4041860829998,0.000478247033815813,0.00192631574605881
"8369","XM_053634574.1","cpne7",-1.99650769819702,2.58430017437362,21.4246557575909,0.00100571840568402,0.00342851783034634
"8379","XM_053634655.1","myo1eb",-1.91634346028104,4.60927017873401,65.3608703941503,1.23696312185957e-05,0.000150524641703358
"8393","XM_053634692.1","cd82a",-2.0956481846715,2.48132343597207,24.4978338383709,0.00062839485173422,0.00237674202333494
"8398","XM_053634710.1","LOC128613682",-2.94481740068904,1.12331341320931,19.4059328938867,0.0011394152352544,0.00375965222753736
"8399","XM_053634717.1","LOC128613686",-2.9522118600016,1.99002129017729,39.9733501431309,9.43429121339717e-05,0.000593325659687081
"8402","XM_053634730.1","eml6",-2.71020941513619,4.1085307489569,62.0930848628425,1.54601092094535e-05,0.000177243801616596
"8403","XM_053634731.1","plekha7b",-2.31418934436734,5.6722101825728,80.056254680903,5.11337551814946e-06,8.57380278672005e-05
"8407","XM_053634743.1","nlgn1",-2.95080604311666,1.88751838486166,31.6815250873683,0.000231389156181292,0.00112866321437731
"8413","XM_053634758.1","si:ch211-247n2.1",-2.43437657153372,2.38910521398797,29.1161800672098,0.000335967568210762,0.00148579472239906
"8418","XM_053634765.1","vat1l",-2.74858663330657,3.97685862189613,34.2018486057368,0.000177775815831946,0.000932545335932452
"8429","XM_053634805.1","LOC128613739",-1.99549032576229,4.73999671849159,64.2752810708446,1.32922492536535e-05,0.000158566640322876
"8465","XM_053634900.1","ptk7a",-1.6134592686749,3.65247228643417,20.8929925519017,0.00108818097625983,0.0036328054534325
"8466","XM_053634901.1","tub",-2.9304943509019,1.11831195369026,20.6150884232705,0.000916848461221148,0.00318907238724709
"8474","XM_053634926.1","pla2r1",-1.6296955035835,7.91073432392022,72.3181926797629,7.97557034812418e-06,0.000113733473501013
"8489","XM_053634969.1","LOC128613842",-2.50063556011439,1.32833502558938,19.8937168546766,0.00122184211153514,0.00397252060685496
"8491","XM_053634987.1","slc6a5",-2.84194807881245,1.69950889664936,34.5390333984516,0.000161724143635362,0.000872082090995749
"8523","XM_053635077.1","foxg1b",-3.77186801837418,0.81382621415111,15.8152790722847,0.00157694050602642,0.00486609090956075
"8526","XM_053635082.1","LOC128613909",-2.55222030886693,1.67076074736254,29.2350627217083,0.000319556624691518,0.00143375350346627
"8528","XM_053635084.1","gamt",-1.58752049516053,4.7313301977807,30.7219298064946,0.000267843873685508,0.00125786383151175
"8533","XM_053635112.1","LOC128613924",-2.04343764602154,3.48192270925411,19.7597511586724,0.0013184634866522,0.00422806793223571
"8534","XM_053635114.1","si:dkey-110c1.10",-2.4081196846013,3.84017033581576,47.4264446590171,4.79396676495803e-05,0.000374359546508155
"8540","XM_053635127.1","lmo1",-3.07538909034192,1.99508149089488,57.1327422611901,2.10198641872545e-05,0.000216977808129606
"8542","XM_053635139.1","fam163ab",-1.69625816909573,2.71933723165427,18.2914431503385,0.00171311979417461,0.00520334022475743
"8545","XM_053635144.1","nphs2",-3.11131610796198,1.92363046871152,23.8264570295105,0.000658890870827107,0.00247301771781804
"8551","XM_053635153.1","LOC128613954",-2.02866798559156,5.61709198406051,77.5984942230527,5.86381053595367e-06,9.42635203138213e-05
"8555","XM_053635158.1","enc3",-2.49341401278644,5.051782239624,128.025512629791,6.21677995195901e-07,2.2983571722293e-05
"8579","XM_053635237.1","cers3a",-2.22188439994813,0.896322986439877,16.5407224053569,0.00216861169119211,0.00629051369902609
"8589","XM_053635253.1","gnao1b",-1.61269526788801,4.38358137893362,21.8105789741171,0.000936628260691975,0.00324323813563245
"8598","XM_053635277.1","scn5lab",-3.23988506447073,3.98270962740863,137.474457691778,4.55364063938677e-07,1.86109616079302e-05
"8604","XM_053635303.1","gcshb",-1.80079497205038,5.33445734032532,40.1222392465392,9.43357156633929e-05,0.000593325659687081
"8653","XM_053635422.1","si:ch73-60h1.1",-2.77764876512445,2.24131427451687,52.6374300120608,3.20604128530706e-05,0.000288859242171553
"8670","XM_053635469.1","hykk.2",-2.78883857876311,1.30606073247514,25.9787555672887,0.000435923395871954,0.00179870469876582
"8676","XM_053635487.1","LOC128614163",-2.07496764258908,1.94784978917613,21.0454275127244,0.00108119140587359,0.00361394310928798
"8677","XM_053635488.1","LOC128614164",-3.09974874855304,1.40381683738905,26.1308647407836,0.000403015064503018,0.00169940293414297
"8699","XM_053635549.1","atcaya",-2.79535261756085,3.06987903126787,52.7947065879839,3.13353284324927e-05,0.00028401808323919
"8705","XM_053635563.1","zgc:162592",-2.64645353689979,3.36630800014105,28.6647127617815,0.000350390156200965,0.00153217608011378
"8725","XM_053635621.1","si:ch211-262h13.5",-3.36660298692456,2.9310902631256,73.9305788870193,7.60435470339662e-06,0.00011050205919083
"8732","XM_053635653.1","ccnd1",-1.92289728793386,4.68285321715996,38.6512401318272,0.000109554655307349,0.000662085544751532
"8751","XM_053635695.1","si:ch1073-59l16.1",-3.04364896917942,3.24811179204121,41.1476506575431,8.70078188838017e-05,0.000562416315209522
"8767","XM_053635731.1","ror1",-3.56038897477456,0.653978585286248,39.5669557762315,2.77951466585178e-05,0.000261445574728696
"8768","XM_053635732.1","ror1",-3.37385124832157,1.90322853905957,24.9856575939599,0.00052434086718126,0.00206495922040834
"8771","XM_053635738.1","vstm2a",-2.53471859727746,1.35912952992446,23.4795031209622,0.000680223691472631,0.00253070895007354
"8772","XM_053635749.1","LOC128614456",-2.23119968108267,4.31409852205372,79.1060491334387,5.397574419795e-06,8.93414465313307e-05
"8779","XM_053635765.1","cachd1",-2.13576621317359,5.86841514119348,67.8691107359051,1.05077969479639e-05,0.000135000172217175
"8783","XM_053635770.1","gdf5",-2.6288752565918,1.04220507426645,15.8298061475855,0.0024143289803297,0.00684348757373089
"8795","XM_053635798.1","hs2st1b",-1.73441209636663,2.38692368128555,20.7689608625521,0.00111991068003299,0.0037096611598883
"8800","XM_053635836.1","si:dkey-192l18.9",-2.27172192252423,4.07022297358229,33.2810366212438,0.000197295013507628,0.00100878448473199
"8807","XM_053635861.1","gabra5",-3.25636478978698,3.96843140017427,54.1527000048711,2.77912536569149e-05,0.000261445574728696
"8816","XM_053635879.1","col7a1",-2.62364788245413,5.77319933155847,143.850136132285,3.6403385511964e-07,1.66276703903245e-05
"8817","XM_053635880.1","si:dkey-117n7.5",-2.42517681260922,5.70307270127413,116.989692270371,9.36649510570472e-07,2.96721766675437e-05
"8820","XM_053635889.1","LOC128614532",-2.79390837091635,2.10973421029758,35.7065831126018,0.000152361324190903,0.000837495794907417
"8823","XM_053635899.1","itgb1a",-1.76279764249231,7.6540255007654,59.781208429367,1.81072133718513e-05,0.000196329249875103
"8829","XM_053635952.1","grm4",-3.28785197496295,2.92405120067806,72.8171425157746,8.12210688997323e-06,0.00011483027627501
"8830","XM_053635956.1","LOC128614554",-2.25844005110026,4.11907282213423,69.5377364254491,9.47990458620843e-06,0.000126466025514131
"8831","XM_053635957.1","kif5ab",-3.24030649457168,3.15807350986499,61.5658340259069,1.65804490150332e-05,0.000185090420144216
"8832","XM_053635958.1","LOC128614556",-2.04200865330742,2.93020202071062,36.752702472064,0.000134792736201634,0.000768318596349311
"8835","XM_053635964.1","LOC128614561",-2.18807041723738,2.96725562343383,17.0821875056787,0.00214611942485481,0.00624171420221876
"8836","XM_053635966.1","slc2a11a",-2.29246221067983,4.06559678659397,44.3073834359798,6.32733607479481e-05,0.000450030388307462
"8886","XM_053636173.1","gli1",-2.22379739509935,1.74404767379322,25.7048397452306,0.000529798003695758,0.00208164322422984
"8897","XM_053636214.1","LOC128614672",-1.89190695934649,3.31736284149013,26.0013541523674,0.000500399139104392,0.00199396694689916
"8912","XM_053636252.1","LOC128614697",-2.4389724636628,2.71079185769788,27.965239922498,0.000387733290285358,0.00165304885518551
"8914","XM_053636254.1","brinp3a.2",-2.41586771620228,1.81916558824227,23.6075941904417,0.000716861171527509,0.00263859678142049
"8915","XM_053636255.1","LOC128614700",-1.95927975753088,0.94462664715834,16.6748542986459,0.0022159537099707,0.00639085313682625
"8924","XM_053636279.1","kcnb1",-2.09306214615391,2.94079372199203,19.6084030413361,0.00135775246853815,0.00433602228461149
"8929","XM_053636301.1","brinp3a.1",-2.22613258407935,3.45931549748312,56.0523824791216,2.39242977145506e-05,0.000236438663860284
"8935","XM_053636326.1","necab3",-2.2816264901446,6.30378902186641,64.0433425881772,1.34911416294537e-05,0.000160362206084401
"8936","XM_053636327.1","LOC128614740",-2.56181425016186,2.96155635221759,30.2370282196763,0.000288391584682694,0.00132778241548449
"8945","XM_053636344.1","inka1b",-2.90023463485498,0.919227319258008,19.1036072963171,0.00111719233638494,0.00370368821245123
"8950","XM_053636354.1","LOC128614761",-2.51677104487428,1.5516043709147,31.2885021102502,0.000243106546286964,0.00117160130136748
"8951","XM_053636355.1","col28a2b",-2.86782275453538,3.32975615067844,44.994713605382,6.02205761752701e-05,0.000434425439895398
"8976","XM_053636404.1","LOC128614792",-2.08767026490501,1.64039959698907,25.3720441060333,0.000555558957696861,0.00215970212065437
"8981","XM_053636411.1","LOC128614798",-2.08910916566882,5.84462442170463,38.2322963186149,0.000114358487740154,0.000682909400667939
"8983","XM_053636413.1","endou",-1.97391618959581,1.32051894551713,16.5702424437181,0.0023585038937826,0.00670874381172952
"8985","XM_053636417.1","LOC128614802",-1.79255175242276,4.26203529666057,34.2738224177622,0.000175892574657261,0.00092506465190115
"8987","XM_053636419.1","LOC128614803",-3.15963980467325,0.902033270307293,28.5510027784471,0.000203845380350432,0.00103055871864859
"8988","XM_053636425.1","LOC128614807",-2.82577903962605,1.18808847503745,19.8034128077395,0.00112115691019951,0.00371227000660865
"8989","XM_053636426.1","LOC128614808",-4.08161216776803,1.04903249136753,32.4578757829042,7.27994593660972e-05,0.000495281485107453
"8992","XM_053636429.1","c1ql4b",-2.63626362496646,1.31851980288568,28.6374641339641,0.000314186724568238,0.00141554542090472
"9006","XM_053636470.1","cttnbp2nla",-1.84960361598122,5.73075765227268,66.5204866780852,1.14586057887241e-05,0.000143792178688267
"9016","XM_053636492.1","si:ch211-198c19.1",-2.40825294615871,1.46999288624597,24.3544847105441,0.000619411425652557,0.00235265888279296
"9017","XM_053636493.1","adarb2",-3.17862820030884,3.78217180098614,129.349260293632,6.04624991776277e-07,2.26566420529499e-05
"9031","XM_053636519.1","uroc1",-2.37002957032417,0.997489435770918,26.0504295355602,0.000432290948325852,0.00178883585672262
"9032","XM_053636522.1","slc4a8",-2.3721130452977,3.72597407986252,69.7507840229274,9.37812430468737e-06,0.000125465352267999
"9034","XM_053636530.1","nav1b",-1.87884286847527,3.35748098146659,32.0160917723296,0.00022935257042782,0.00112235774186383
"9044","XM_053636563.1","sned1",-1.66979071526928,3.43922627111152,26.4980832107749,0.000466446756981124,0.0018903295533798
"9051","XM_053636596.1","negr1",-2.32263933601033,7.75331778187017,66.4360903802049,1.15190856118633e-05,0.00014421574469052
"9055","XM_053636610.1","bin2b",-1.68579463409415,5.65401562788339,54.2339238402238,2.73431683156649e-05,0.000258848660054961
"9062","XM_053636627.1","tgfa",-2.12573402170025,2.8927932200573,19.1958224733362,0.00145982504566589,0.00458866948334747
